season,date,home_team,away_team,home_1st,away_1st,home_2nd,away_2nd,home_final,away_final,home_open,away_open,home_close,away_close,home_ml,away_ml,home_2H,away_2H
2021,20211109.0,California,UCSanDiego,37,33,30,47,67,80,15,141.5,14.5,140,-1100,700,7.5,74
2021,20211109.0,ArkansasLR,SoIllinois,34,37,35,29,69,66,139,7,137.5,6.5,235,-275,73.5,3
2021,20211109.0,Buckeyes,Akron,36,28,31,38,67,66,16.5,146.5,16.5,140.5,-1300,775,7.5,73
2021,20211109.0,VaCommonwealth,St.Peter's,31,23,26,31,57,54,9.5,133.5,9,129,-420,350,3.5,70
2021,20211109.0,IndianaU,EasternMichigan,36,19,32,43,68,62,22,139,24.5,144.5,-3000,1200,10,75.5
2021,20211109.0,Bulldogs,IUPUI,29,19,27,28,56,47,26.5,142.5,25,141,-3000,1200,11.5,72
2021,20211109.0,Pittsburgh,TheCitadel,31,43,32,35,63,78,9,155,10.5,154.5,-490,395,8,80
2021,20211109.0,Iona,AppalachianSt,25,27,40,26,65,53,5.5,138,6.5,136.5,-265,225,5,71
2021,20211109.0,Dayton,IllinoisChicago,25,32,39,22,64,54,15,139.5,14,135.5,-1000,650,10.5,70.5
2021,20211109.0,Georgia,FloridaIntl,22,27,36,24,58,51,12,154,7,152,-370,310,6,76
2021,20211109.0,Ohio,Belmont,44,39,48,41,92,80,156.5,1,156,4,150,-170,83,3
2021,20211109.0,CharlotteU,Monmouth,32,23,36,43,68,66,5,139.5,5.5,135.5,-200,175,0.5,70.5
2021,20211109.0,Spartans,Jayhawks,32,39,42,48,74,87,145.5,4.5,141,4.5,175,-200,75.5,0.5
2021,20211109.0,Valparaiso,Toledo,33,35,28,34,61,69,146.5,4,143,5,175,-200,76,2.5
2021,20211109.0,ArizonaState,PortlandU,31,25,45,35,76,60,25,155.5,22.5,157,-1800,950,10.5,79.5
2021,20211109.0,Mountaineers,Oakland,27,23,33,30,60,53,16.5,151.5,17.5,151,-1600,900,8.5,79
2021,20211109.0,Volunteers,TennMartin,43,35,47,27,90,62,35,147,35,148,-7500,2500,15.5,78
2021,20211109.0,Duquesne,Rider,30,33,43,28,73,61,7.5,146.5,7.5,149.5,-320,265,5.5,77
2021,20211109.0,Bearcats,Evansville,31,22,34,21,65,43,8,135.5,11.5,135,-550,425,4.5,71.5
2021,20211109.0,Providence,Fairfield,42,35,38,38,80,73,14,134,15.5,132.5,-1200,750,7,73
2021,20211109.0,St.Bonaventure,Siena,36,32,39,15,75,47,20.5,137,19,133.5,-2000,1000,10,71
2021,20211109.0,Terrapins,Quinnipiac,41,25,42,44,83,69,22,142,23,141.5,-3000,1200,9.5,75
2021,20211109.0,Davidson,Delaware,51,33,42,38,93,71,7,138,7,137,-280,240,74.5,0.5
2021,20211109.0,GeorgiaSouthern,BallState,41,41,41,30,82,71,3,141,2.5,137,-145,125,1.5,76
2021,20211109.0,GeorgiaTech,MiamiOhio,33,33,36,39,69,72,10.5,144.5,9.5,140.5,-450,375,6,76
2021,20211109.0,WesternCarolina,BowlingGreen,37,29,31,39,79,71,151,9,154.5,9,330,-400,80.5,6.5
2021,20211109.0,MiamiFlorida,Canisius,37,31,40,36,77,67,15,147.5,15.5,151,-1400,800,7.5,79.5
2021,20211109.0,Musketeers,Niagara,29,23,34,37,63,60,21,142.5,17,139.5,-1500,850,7.5,72
2021,20211109.0,Fordham,Columbia,49,33,28,34,77,67,11,135,9.5,137,-500,400,1.5,73
2021,20211109.0,Northwestern,EasternIllinois,40,29,40,27,80,56,25,142,23,138.5,-2500,1100,9.5,73
2021,20211109.0,HoustonU,Hofstra,31,37,38,32,83,75,19,143,19,141.5,-2000,1000,12,75
2021,20211109.0,Gators,Elon,47,24,27,37,74,61,19.5,142,18.5,137.5,-1800,950,6.5,73.5
2021,20211109.0,IllinoisState,NCWilmington,23,32,45,31,68,63,7,149,5,147.5,-200,175,4.5,75
2021,20211109.0,MemphisU,TennesseeTech,52,41,37,24,89,65,28,149,28.5,150,-5000,1500,13,80.5
2021,20211109.0,Tigers,CentralMichigan,45,29,33,39,78,68,18,148,16,138.5,-1200,750,5.5,73.5
2021,20211109.0,Cowboys,UTArlington,43,14,45,31,88,45,21.5,144,18,148.5,-1600,900,5.5,76.5
